"","INTERCEPT_ID","LOCATION_ID","LOCATION_NM","INTERCEPT_DT","TIME_ID","FINAL_DETERM_ID","INTERCEPT_NUM","PORT_REFERENCE_NUMBER","PATHWAY","MODE_OF_TRANSPORT","FORWARD_TO","PRIORITY","OVERTIME_FL","UDF1","ORIGIN_UNSURE_FL","ORIGIN","ORIGIN_ID","DESTINATION_STATE","DESTINATION_CITY","DESTINATION_ZIP","IMPORTED_AS","MATERIAL_FOR","WHERE_INTERCEPT","AIRLINE","MARITIME_NM","CARRIER_NUM","SHIPMENT_ID_NUM","SHIPMENT_TYPE","NATIONAL_AGR_RELEASE_PROG","HOST_PROXIMITY","INSP_HOST","INSP_GENUS","INSP_AGRICULT_FL","INVALID_INSP_HOST","BIO_HOST","BIO_GENUS","BIO_AGRICULT_FL","INVALID_BIO_HOST","HOST_PART","HOST_QUANTITY","UNIT","DISEASE_STAGE","ALIVE_IMMATURE","ALIVE_PUPAE","ALIVE_ADULT","ALIVE_EGG","ALIVE_CYST","DEAD_IMMATURE","DEAD_PUPAE","DEAD_ADULT","DEAD_EGG","DEAD_CYST","NIS_REVIEW_FL","PEST","INVALID_PEST","INCONCL_REASON","PEST_TYPE","REPORTABLE_FL","PEST_ORDER","SUB_ORDER","SUPER_FAMILY","FAMILY","SUB_FAMILY","TRIBE","GENUS","SUB_GENUS","SPECIES","SUB_SPECIES","AUTHOR","PEST_REMARKS","DETERMINED_BY","DETERMINED_DT","DETERM_REMARKS","QUARANTINE_STATUS","SEL_LOT","APPROVED_FL","REMARKS","F309_ID","CREATE_USER","CREATE_DT","MODIFY_USER","MODIFY_DT","REFRESH_DT"
"1",1782702,663,"AZ Nogales CBP","2010-03-15 00:00:00",11032,2350097,"APTAZ100756076001",NA,"Land Border","POV","None","Routine","N",NA,"N","Mexico",140,"California",NA,NA,"Plant","Propagation","Baggage",NA,NA,NA,NA,NA,"N","In","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Soil",1,"Plant Unit",NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,"N","Free-living nematode *Non-Rep*",NA,NA,"Nematode","N",NA,NA,NA,NA,NA,NA,"Free-living",NA,"nematode",NA,NA,NA,"Allen Dawson","2010-03-18 00:00:00",NA,NA,NA,"Y","Mariposa POE",1772966,"TLADAMS","2010-03-16 10:00:43","ALDAWSON","2010-03-18 11:29:44","2021-04-19 01:00:06"
"2",1674049,796,"NY Buffalo CBP","2009-09-24 00:00:00",10860,2200711,"APBNY092676586001",NA,"Land Border","Bus","None","Routine","N","8013P","N","United States of America",228,NA,NA,NA,"Fruit","Consumption","Baggage",NA,NA,NA,NA,NA,"N","On","Prunus domestica","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",2,"Each",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","No pathogen found *Non-Rep*",NA,NA,"Disease","N",NA,NA,NA,NA,NA,NA,"No",NA,"pathogen found",NA,NA,NA,"Alan J Towson","2009-10-21 00:00:00",NA,"No Action",NA,"Y","abandoned along with citrus by bus passenger",1665094,"SMOBRIEN","2009-09-24 12:31:12","AJTOWSON","2009-10-21 12:54:16","2021-04-19 01:00:06"
"3",1434527,157,"FL Miami Air CBP","2007-10-16 00:00:00",10151,1832344,"APMFL080991993005","308647","Airport","Aircraft","None","Routine","N",NA,"N","Barbados",19,"Florida",NA,NA,"Leaf","Non-Entry","Baggage","American Airlines, Ft Worth, USA",NA,"AA 946",NA,NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",NA,NA,"Asexual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Injury sp. *Non-Rep*",NA,NA,"Disease","N",NA,NA,NA,NA,NA,NA,"Injury",NA,NA,NA,NA,NA,"Hernan Ruiz","2007-10-22 00:00:00",NA,NA,NA,"Y",NA,1429434,"HRUIZ","2008-04-08 13:23:49","PESTIDAPP","2008-04-08 14:05:40","2021-04-19 01:00:06"
"4",1735057,157,"FL Miami Air CBP","2009-12-31 00:00:00",10958,NA,"APMFL093656854001","407400","Airport","Aircraft","None","Routine","N","eee","N","St. Lucia",183,NA,NA,NA,"Fruit","Consumption","Baggage","American Airlines, Ft Worth, USA",NA,"2298",NA,NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",35,"Each",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Homoptera.  Seizing Officer:Abdel Figueredo",1725676,"FBHAMILTON","2009-12-31 19:58:34","FBHAMILTON","2009-12-31 19:58:34","2021-04-19 01:00:06"
"5",103764,118,"NY JFK PIS PPQ","1996-10-15 00:00:00",6133,111503,"JFKNY970171152870","1152870","Inspection Station",NA,"None","Urgent","N","JFK","N","France",74,"California",NA,NA,"Cutting","Propagation","Permit Cargo",NA,NA,NA,"LH FLT 166",NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"N","No specimen found *Non-Rep*",NA,NA,"Insect","N",NA,NA,NA,NA,NA,NA,"No",NA,"specimen found",NA,NA,NA,"Robert L Smiley","1997-01-17 08:46:46",NA,NA,NA,"Y","8 ",103764,"PIN309","1997-01-17 08:46:46","PIN309","2006-06-09 09:57:24","2021-04-19 01:00:06"
"6",1735062,157,"FL Miami Air CBP","2009-12-31 00:00:00",10958,2273293,"APMFL093656854002","407401","Airport","Aircraft","None","Routine","N","eee","N","St. Lucia",183,NA,NA,NA,"Fruit","Consumption","Baggage","American Airlines, Ft Worth, USA",NA,"2298",NA,NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",35,"Each",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","No identifiable insecta found *Non-Rep*",NA,NA,"Insect","N",NA,NA,NA,NA,NA,NA,"No",NA,"identifiable insecta found",NA,NA,NA,"Ramón A. Dones","2010-01-05 00:00:00",NA,NA,NA,"Y","Homoptera.  Seizing Officer:Abdel Figueredo",1725681,"FBHAMILTON","2009-12-31 20:05:32","WTANG","2010-01-05 11:49:31","2021-04-19 01:00:06"
"7",1630454,47,"TX Dallas/Ft. Worth CBP","2009-07-11 00:00:00",10785,2128528,"APHTX091925564002",NA,"Airport","Aircraft","None","Routine","N",NA,"N","Spain",200,"California","San Diego",NA,"Fruit","Consumption","Baggage","American Airlines, Ft Worth, USA",NA,"37",NA,NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",1,"Each",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Abiotic sp. *Non-Rep*",NA,NA,"Disease","N",NA,NA,NA,NA,NA,NA,"Abiotic",NA,NA,NA,NA,NA,"Maria Perez","2009-08-05 00:00:00",NA,NA,NA,"Y",NA,1622102,"MPDRAHEIM","2009-07-11 18:04:39","MDPEREZ","2009-08-05 09:07:19","2021-04-19 01:00:06"
"8",452419,118,"NY JFK PIS PPQ","1994-12-23 00:00:00",5471,NA,"JFKNY980997942540","7942540","Airport",NA,"None","Routine","N","JFK","N","Bangladesh",18,"New York",NA,NA,"Fruit","Consumption","Baggage",NA,NA,NA,"AA 131",NA,"N","In","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",1,"Pound",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","1 LBS PINET *JFK123-DEC-94140 *PINET 309* ",452419,"PIN309","1998-04-09 07:16:39","PESTID","2006-08-02 14:39:37","2021-04-19 01:00:06"
"9",1727197,401,"NY New York SITC PPQ","2009-12-14 00:00:00",10941,2272200,"APENY093512297008","88887282","SITC","Aircraft","None","Prompt","N",NA,"N","Poland",173,"Kentucky","Bowling Green","42104","Plant","Propagation","Mail",NA,NA,NA,"CP118877184PL","Other","N","With","Prunus sp.","Prunus","Y",NA,"Unknown  ","Unknown","Y",NA,"Plant",6,"Plant Unit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Magnoliophyta, sp. *Non-Rep*",NA,NA,"Weed","N",NA,NA,NA,NA,NA,NA,"Magnoliophyta,",NA,NA,NA,NA,NA,"David Bitzel","2010-01-04 00:00:00",NA,NA,NA,"Y","Nematode wash under APENY093512297007. Botany ID for genus and species. Part of Sp. Op. Holiday Feast.",1717852,"MLSHORE","2009-12-17 12:48:49","KECLANCY","2010-01-13 06:53:07","2021-04-19 01:00:06"
"10",1600854,241,"CA San Francisco CBP","2009-05-19 00:00:00",10732,2091849,"APSCA091395627003","012911","Airport","Aircraft","None","Routine","N",NA,"N","Iran",103,"California",NA,NA,"Fruit","Consumption","Baggage","KLM Royal Dutch Airlines, Amsterdam, Netherlands",NA,"605",NA,NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",3,"Each",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Abiotic sp. *Non-Rep*",NA,NA,"Disease","N",NA,NA,NA,NA,NA,NA,"Abiotic",NA,NA,NA,NA,NA,"Fengru Zhang","2009-06-23 00:00:00",NA,NA,NA,"Y",NA,1592815,"CAHO","2009-05-19 17:26:44","FZHANG","2009-06-30 17:49:47","2021-04-19 01:00:06"
